
index,name,E,G,alpha,density
0,--Select--,1,1,1,1
1,Steel HR,2.00E+11,76923076923,0.000012,7850
2,Stainless Steel,1.94E+11,74615384615,0.000012,7850
3,Concrete LS,2.20E+10,9565217391,0.000011,2400
4,Concrete MS,3.20E+10,13913043478,0.000011,2400
5,Concrete HS,4.00E+10,17391304348,0.000011,2400
6,Cast iron Gray,9.50E+10,3.80E+10,0.000012,7200
7,Cast iron Malleable,1.70E+11,6.80E+10,0.000012,7200
8,Aluminium,7.20E+10,27067669173,0.000023,2800
9,Glass Silicon,7.00E+10,29914529915,0.000008,2400
10,Copper,1.20E+11,45112781955,0.000017,8900
11,Bronze,1.00E+11,37313432836,0.00002,8800
12,Brass,1.05E+11,38888888889,0.000019,8470
