"","name","E","G"
"","--Select--","1","1"
"1","Steel HR","2e+11","76923076923.0769"
"2","Stainless Steel","1.94e+11","74615384615.3846"
"3","Concrete LS","2.2e+10","9565217391.30435"
"4","Concrete MS","3.2e+10","13913043478.2609"
"5","Concrete HS","4e+10","17391304347.8261"
"6","Cast iron Gray","9.5e+10","3.8e+10"
"7","Cast iron Malleable","1.7e+11","6.8e+10"
"8","Aluminium","7.2e+10","27067669172.9323"
"9","Glass Silicon","7e+10","29914529914.5299"
"10","Copper","1.2e+11","45112781954.8872"
"11","Bronze","1e+11","37313432835.8209"
"12","Brass","1.05e+11","38888888888.8889" 
